Accession Number,OCLC Number,Branch,Shelf Location
238274197,ocm03491603 ,MAIN,MAIN-STACKS
238280538,ocm03491603 ,MAIN,Main Reserves - 24 hours
84296564,ocm04228648 ,MAIN,Main Reserves - 4 hours
84243466,ocm06789342 ,MAIN,Main Reserves - 4 hours
84297316,ocm07998599 ,MAIN,Main Reserves - 4 hours
84297332,ocm11840252 ,MAIN,Main Reserves - 4 hours
84296962,ocm11969962 ,MAIN,Main Reserves - 4 hours
84298118,ocm12103194 ,MAIN,Main Reserves - 4 hours
84298119,ocm12103194 ,MAIN,Main Reserves - 4 hours
84243491,ocm13333674 ,MAIN,Main Reserves - 4 hours
84243492,ocm13333674 ,WEST,WEST-Reference
84243493,ocm13333674 ,MAIN,MAIN-STACKS
84243494,ocm13333674 ,MAIN,Main Reserves - 4 hours
84243495,ocm13333674 ,MAIN,MAIN-STACKS
84243496,ocm13333674 ,EAST,Tyler's Shelving Location
84243497,ocm13333674 ,MAIN,MAIN-STACKS
84243498,ocm13333674 ,MAIN,MAIN-STACKS
84243499,ocm13333674 ,MAIN,MAIN-Reference
84243500,ocm13333674 ,MAIN,MAIN-STACKS
84243501,ocm13333674 ,MAIN,MAIN-STACKS
84243502,ocm13333674 ,MAIN,MAIN-STACKS
84243503,ocm13333674 ,SOUT,SOUT-STACKS
84243504,ocm13333674 ,WEST,WEST-Periodicals
84243505,ocm13333674 ,MAIN,MAIN-STACKS
84243506,ocm13333674 ,MAIN,MAIN-STACKS
84243507,ocm13333674 ,MAIN,MAIN-STACKS
84243508,ocm13333674 ,MAIN,MAIN-STACKS
84243509,ocm13333674 ,MAIN,MAIN-STACKS
84243510,ocm13333674 ,WEST,WEST-Periodicals
84243511,ocm13333674 ,SOUT,SOUT-STACKS
84243512,ocm13333674 ,MAIN,MAIN-STACKS
84243513,ocm13333674 ,MAIN,MAIN-Periodicals
84243514,ocm13333674 ,MAIN,MAIN-STACKS
84243515,ocm13333674 ,MAIN,MAIN-STACKS
84243516,ocm13333674 ,MAIN,MAIN-STACKS
84243517,ocm13333674 ,MAIN,MAIN-STACKS
84243518,ocm13333674 ,MAIN,Main Reserves - 4 hours
84243519,ocm13333674 ,MAIN,MAIN-STACKS
84243520,ocm13333674 ,WEST,
84243521,ocm13333674 ,MAIN,MAIN-STACKS
