OCLC Number,Title,ISBNs
ocm07836674 ,Beyond separate spheres :intellectual roots of modern feminism,"0300026951,9780300026955,0300030924,9780300030921"
ocm13035116 ,LS/2000 operations manual.,
ocm13287558 ,Dewey decimal classification online project :evaluation of a library schedule and index integrated into the subject searching capabilities of an online catalog,
ocm13298037 ,Machine-readable data files format.,"0933418000,9780933418004,0933418892,9780933418899"
ocm18297208 ,Acquisitions 350 :user manual.,"1556530552,9781556530555,1556530560,9781556530562"
ocm18653076 ,ACQ350 profile workbook.,"1556530641,9781556530647"
ocm18896850 ,Guide to the use of the OCLC name and logo,
ocm19246647 ,"OPACs and beyond :proceedings of a joint meeting of the British Library, DBMIST, and OCLC, OCLC Online Computer Library Center, Inc., Dublin, Ohio, August 17-18, 1988.","1556530706,9781556530708"
ocm20287628 ,OCLC CJK350 Word Processing user manual.,"1556530048,9781556530043,1556530935,9781556530937"
ocm27864554 ,FirstSearch quicksearch guide.,
